epoch,train_loss,test_rmse,test_mse,test_pearson,test_spearman,test_ci
1,5.114667224884033,1.0027947116794533,1.0055972,0.2188883929411132,0.2592045290803864,0.6298232661050528
2,0.9203353722890218,0.9363595701817053,0.87676924,0.34783825813567154,0.3358025868419339,0.6687692567617026
3,0.7831603328386942,0.805338142824601,0.6485695,0.5397756647530062,0.5189923962087423,0.7661919022980115
4,0.751891960700353,0.8031832885370556,0.6451034,0.5741818165588359,0.5712072093999525,0.7935855175303548
5,0.713800796866417,0.8227109812963329,0.67685336,0.5971933607169273,0.5746742592009475,0.79562598744381
6,0.6942127108573913,0.8448213909923343,0.7137232,0.5981049209254795,0.5761993221559077,0.7959114633101194
7,0.6545688887437184,0.8088082291690999,0.65417075,0.5962462917396437,0.5589242909760207,0.7863107298963068
8,0.646407812833786,0.7509458855562796,0.5639197,0.6280656522531535,0.5972337649222816,0.8077698894379469
9,0.6171364068984986,0.7508484094851214,0.56377333,0.6384235600597404,0.5840333786821135,0.7999556058320167
10,0.621135609348615,0.8618820035786824,0.7428406,0.6500979798512677,0.6003173540520834,0.8092502885423084
11,0.6428944826126098,0.7431165401788908,0.5522222,0.6796210450417375,0.610422663777096,0.815361410864068
12,0.6039516935745876,0.7388242712623245,0.5458613,0.6339194962245419,0.5716982912117962,0.7926588585159449
13,0.5571090092261632,0.697960451280436,0.4871488,0.6914519365663614,0.6108297371121504,0.8161792606432248
14,0.5475851972897847,0.757896969207047,0.5744078,0.6898606457832122,0.6033714905981532,0.8121857638744634
15,0.5385609517494837,0.6898419847822231,0.47588196,0.6973526869779999,0.6056873689065443,0.8135909856890137
16,0.5132945934931438,0.6968069411088629,0.4855399,0.7147539120712982,0.6375592575925844,0.8315474770303705
17,0.5201035052537918,0.8069390952421228,0.6511507,0.6808804062386754,0.5909272567024896,0.8052637159976086
18,0.5279305835564931,0.6720897641813367,0.45170465,0.7138091353498576,0.6287544733920217,0.8274635696788624
19,0.5061213612556458,0.6713615717946823,0.45072636,0.7212059584378083,0.6367432622222261,0.8306910494314421
20,0.5038811922073364,0.6742476332258382,0.45460987,0.7299879719268081,0.6274491013577079,0.8260927711496467
21,0.4793362945318222,0.6455263720915938,0.4167043,0.7384082603880829,0.63884131321425,0.8325859128046312
22,0.4834931512673696,0.6785133568215768,0.46038038,0.7271559466392054,0.6150809562959564,0.8203812754737257
23,0.5173361708720525,0.6481135374874666,0.42005116,0.7330609697686761,0.6318330320717962,0.8297016767305317
24,0.47874317566553753,0.6877711801626756,0.4730292,0.7618342459422393,0.6498590006717275,0.839090924558007
25,0.49912542502085366,0.6806239987901062,0.46324903,0.7425748337355802,0.6466594161937037,0.837435837172321
26,0.48805956542491913,0.6708304469320938,0.4500135,0.7244778161247976,0.6363638591037748,0.8310390411492787
27,0.48908783892790475,0.6872124720915446,0.47226098,0.7272068850168409,0.5919523145689658,0.8071603598855565
28,0.4588607718547185,0.6114505974206043,0.37387183,0.7685179226621821,0.6635785881852587,0.8477982352329052
29,0.45604122678438824,0.6919626917139495,0.47881237,0.7437504983694175,0.6412206579670506,0.8347191673205112
30,0.45317820409933723,0.8065731214306524,0.6505602,0.7535184685540212,0.6213683929268269,0.8237523834168394
31,0.46375498473644255,0.6606437869184069,0.4364502,0.743647728879659,0.5972033142014249,0.8110466300988503
32,0.4518624474604925,0.6193690074318962,0.38361797,0.7626596252441538,0.6541120744063399,0.8422475793901856
33,0.45278888841470083,0.6210541382639684,0.38570824,0.763891787938785,0.6417212577632881,0.8349332247615
34,0.4344820201396942,0.6134032352883958,0.37626353,0.7697429627185003,0.6506010777585617,0.8407834027536254
35,0.42771138846874235,0.6220921822480874,0.38699868,0.7592409611113741,0.6555707475127773,0.843277112590653
36,0.4202118724584579,0.7119799506279164,0.50691545,0.7705781918264181,0.6372309143259388,0.8339850017350127
37,0.44048443833986917,0.694817784937052,0.48277175,0.7400925163803549,0.6416868131516954,0.834827580885818
38,0.4423470805088679,0.7018628129724801,0.4926114,0.7755666590602167,0.6556060780869372,0.8441141523622089
39,0.45468588173389435,0.6544247858078247,0.4282718,0.7318583214558526,0.6259656462701085,0.8258300463052538
40,0.4147632549206416,0.6371486359362597,0.40595838,0.7693035958406694,0.6676323372794573,0.8507254014961864
41,0.4120177060365677,0.6126158439311612,0.37529817,0.7702413311132343,0.660941136286661,0.8459332449406674
42,0.40864684283733366,0.6766954974044292,0.4579168,0.7612514134852687,0.6591118068411448,0.8455247157210353
43,0.4539040366808573,0.6287039437309414,0.39526865,0.7588663012327386,0.6541144262336972,0.8426816293213588
44,0.4198922683795293,0.6018770312139317,0.36225596,0.7763024981482489,0.6614147213094187,0.8478749952025019
45,0.40518374045689903,0.5998942788681272,0.35987315,0.785544469360018,0.6689170229829587,0.8522307278071695
46,0.4128596623738607,0.6211967862631919,0.38588545,0.7852884767459166,0.6660894970023628,0.8502033150019447
47,0.42332763572533927,0.5988029997270782,0.35856503,0.7821348862263103,0.662077651118557,0.8476793364140195
48,0.4161308765411377,0.605183564979834,0.36624715,0.7805860001781447,0.6624359471616362,0.8477042636206411
49,0.44021778702735903,0.5891435016015016,0.34709007,0.7907075991690857,0.6657383447006612,0.8504800861294339
50,0.40791172285874683,0.6411268780465676,0.41104367,0.7778649958701237,0.6644722796854828,0.8482231847553118
51,0.40022782782713573,0.6285074521535661,0.39502162,0.7833305461995326,0.6700490563421269,0.8521286449610047
52,0.42270735601584114,0.6516146668698419,0.42460167,0.764612133747692,0.6163135748931727,0.8222793042064859
53,0.41185092329978945,0.5963625900362197,0.35564834,0.7869305391691216,0.6724764367010306,0.8537421870023214
54,0.39606909155845643,0.579146693820667,0.3354109,0.7988094088142523,0.6853083352174453,0.8616640928336655
55,0.39374775687853497,0.6083283850934564,0.37006342,0.7858913132621933,0.6659940460859918,0.8498913292492282
56,0.41801836490631106,0.6598695211325787,0.43542778,0.7813692345150276,0.6768817158180201,0.8555090511478582
57,0.41620150208473206,0.6222876583779531,0.38724193,0.7937494887690691,0.6704856920795882,0.851892430003019
58,0.4133763740460078,0.6183970465785116,0.3824149,0.7733584508801319,0.6607443245343269,0.8461148574460534
59,0.3845314691464106,0.5819236860793792,0.33863518,0.7952550220783026,0.6834843572971631,0.8599785388621086
60,0.3866296331087748,0.603291293922406,0.3639604,0.7955866938214062,0.6805612896204085,0.8590528690225646
61,0.42504098216692604,0.6016326714745255,0.36196187,0.7832351381531267,0.6327826177428314,0.8310916652521466
62,0.39468727111816404,0.6155344882013629,0.3788827,0.7860074638404421,0.6712638531484779,0.8527197758608888
63,0.3797662476698557,0.5668015251783904,0.32126397,0.8059119565331645,0.6843882340409058,0.8612984938032151
64,0.35670418788989383,0.5824728704855571,0.33927464,0.8037638878823203,0.6897150359048426,0.8642165596577297
65,0.3634128679831823,0.5892443611448146,0.34720892,0.786817566044694,0.6725326383061234,0.8544856508315597
66,0.3687879090507825,0.5919453148328513,0.35039926,0.7922197457928751,0.6707614939026852,0.8528046470643862
67,0.3644774357477824,0.5913045616862942,0.34964108,0.7889737727119874,0.6807565132879388,0.8594064001196506
68,0.35652326345443724,0.5907060244655196,0.3489336,0.7935863985308864,0.6772514584672517,0.8562608240459705
69,0.37359504302342733,0.5705200496981857,0.32549313,0.804171563884933,0.6842579559419716,0.8613485460514315
70,0.3766521453857422,0.5695173651699461,0.32435003,0.8036321569875965,0.6848677613125994,0.8608092479145226
71,0.3965907692909241,0.5784335472924009,0.33458537,0.7993050245014769,0.6590520544512658,0.8467556449242074
72,0.36727100213368735,0.5952671394187695,0.35434297,0.8016469952433387,0.6882457026001023,0.8629832564348793
73,0.3646575371424357,0.564900072806285,0.3191121,0.8094750220030195,0.6864411576930514,0.8628944285319181
74,0.36196694572766624,0.5697367649256834,0.32459998,0.8024884873979795,0.6844606826046159,0.861071379253996
75,0.3676137884457906,0.6446143588034215,0.41552767,0.7907805620906252,0.669917549977526,0.8519191377243993
76,0.3750213215748469,0.5844346163934236,0.34156382,0.8031050548962256,0.6875620897387705,0.8635741894997901
77,0.3740139067173004,0.5801412631522986,0.3365639,0.8088630814700432,0.6783412917553056,0.8578310402281591
78,0.3545834094285965,0.6208290399705895,0.3854287,0.7884996248775763,0.6760635745800211,0.8568950829700094
79,0.3787917415301005,0.5616760046642064,0.31547993,0.8076423096450784,0.6881256803721578,0.8633314459876891
80,0.3614089250564575,0.5754832921506944,0.33118102,0.7969118570373206,0.6723615291570988,0.8530192980102945
81,0.3611431171496709,0.5604735004105685,0.31413054,0.8134023422535229,0.6839255574001422,0.8613515135760293
82,0.3570940802494685,0.5553282676780957,0.30838948,0.8122880319452386,0.6886619239345427,0.8643322931170443
83,0.34614752332369486,0.626480352101252,0.39247763,0.8043285021799857,0.6860835436266022,0.8622698635215654
84,0.3637904107570648,0.667365711005328,0.445377,0.8167078649929107,0.6945012077779672,0.8676883656021958
85,0.35847856402397155,0.5844383643980939,0.3415682,0.8057741589749174,0.6847216804975957,0.8616777434468155
86,0.36270527839660643,0.5566683578275168,0.30987966,0.8131214000635949,0.6924395677809018,0.8667541888588047
87,0.34362537463506065,0.6403806964904601,0.41008744,0.7735046854389275,0.6606124892850246,0.8452439878940823
88,0.33796775887409847,0.5956304537112163,0.35477564,0.7931119668690333,0.6722110398600881,0.8544409401276194
89,0.3465826719999313,0.5713239088597981,0.326411,0.818994808060072,0.7042042594258761,0.873631328196746
90,0.3589082529147466,0.6786926047504387,0.46062365,0.8130532960101851,0.6962879175928223,0.8682171784855258
91,0.4010066370169322,0.5586976441553719,0.31214306,0.8167176407286726,0.6842341186416478,0.8614023571641385
92,0.3378366122643153,0.5712139373681742,0.32628536,0.8092922773336491,0.6845724513754182,0.8617855635072026
